"Determination Mono";10;False;False;1;0;1;1
32;2;2;8;16;8;0
33;211;98;4;13;8;2
34;237;98;5;8;8;1
35;38;20;7;13;8;1
36;116;20;6;15;8;1
37;74;20;7;13;8;1
38;11;20;7;13;8;1
39;60;116;2;8;8;1
40;205;98;4;13;8;3
41;223;98;4;13;8;1
42;164;20;8;11;8;0
43;127;98;6;11;8;1
44;26;116;2;15;8;1
45;244;98;4;9;8;2
46;38;116;2;13;8;1
47;184;20;6;14;8;1
48;26;38;6;13;8;1
49;106;68;6;13;8;1
50;66;38;6;13;8;1
51;122;53;6;13;8;1
52;162;68;6;13;8;1
53;194;68;6;13;8;1
54;138;68;6;13;8;1
55;234;53;6;13;8;1
56;154;38;6;13;8;1
57;138;38;6;13;8;1
58;42;116;2;13;8;3
59;22;116;2;15;8;3
60;151;98;5;13;8;1
61;185;98;6;10;8;1
62;172;98;5;13;8;2
63;226;53;6;13;8;1
64;162;38;6;13;8;1
65;26;68;6;13;8;1
66;202;53;6;13;8;1
67;186;68;6;13;8;1
68;42;38;6;13;8;1
69;82;38;6;13;8;1
70;50;68;6;13;8;1
71;242;53;6;13;8;1
72;210;38;6;13;8;1
73;130;68;6;13;8;1
74;50;53;6;13;8;1
75;178;38;6;13;8;1
76;18;68;6;13;8;1
77;29;20;7;13;8;1
78;170;68;6;13;8;1
79;74;68;6;13;8;1
80;98;68;6;13;8;1
81;100;20;6;15;8;1
82;114;53;6;13;8;1
83;90;38;6;13;8;1
84;90;53;6;13;8;1
85;242;38;6;13;8;1
86;162;53;6;13;8;1
87;83;20;7;13;8;1
88;146;68;6;13;8;1
89;10;38;6;13;8;1
90;238;20;6;13;8;1
91;193;98;4;13;8;3
92;217;98;4;13;8;2
93;199;98;4;13;8;1
94;229;98;6;8;8;1
95;108;20;6;15;8;1
96;55;116;3;6;8;1
97;206;20;6;13;8;1
98;50;38;6;13;8;1
99;98;38;6;13;8;1
100;246;20;6;13;8;1
101;42;53;6;13;8;1
102;34;83;6;13;8;1
103;128;2;6;16;8;1
104;202;68;6;13;8;1
105;90;68;6;13;8;1
106;152;2;6;16;8;1
107;222;20;6;13;8;1
108;26;53;6;13;8;1
109;213;2;7;13;8;1
110;114;68;6;13;8;1
111;122;68;6;13;8;1
112;88;2;6;16;8;1
113;160;2;6;16;8;1
114;58;53;6;13;8;1
115;234;38;6;13;8;1
116;130;53;6;13;8;1
117;66;53;6;13;8;1
118;178;68;6;13;8;1
119;222;2;7;13;8;1
120;214;20;6;13;8;1
121;144;2;6;16;8;1
122;18;53;6;13;8;1
123;165;98;5;13;8;2
124;30;116;2;13;8;3
125;158;98;5;13;8;1
126;211;83;7;10;8;1
127;184;83;7;10;8;1
128;101;98;7;10;8;1
129;175;83;7;10;8;1
130;56;98;7;10;8;1
131;94;83;7;10;8;1
132;139;83;7;10;8;1
133;76;83;7;10;8;1
134;85;83;7;10;8;1
135;58;83;7;10;8;1
136;110;98;7;10;8;1
137;74;98;7;10;8;1
138;202;83;7;10;8;1
139;193;83;7;10;8;1
140;38;98;7;10;8;1
141;67;83;7;10;8;1
142;65;98;7;10;8;1
143;112;83;7;10;8;1
144;11;98;7;10;8;1
145;2;98;7;10;8;1
146;166;83;7;10;8;1
147;148;83;7;10;8;1
148;29;98;7;10;8;1
149;220;83;7;10;8;1
150;157;83;7;10;8;1
151;238;83;7;10;8;1
152;229;83;7;10;8;1
153;130;83;7;10;8;1
154;83;98;7;10;8;1
155;103;83;7;10;8;1
156;20;98;7;10;8;1
157;92;98;7;10;8;1
158;47;98;7;10;8;1
159;121;83;7;10;8;1
160;64;116;0;0;0;0
161;179;98;4;16;8;2
162;98;53;6;13;8;1
163;177;2;7;13;8;1
164;20;20;7;13;8;1
165;154;68;6;13;8;1
166;34;116;2;13;8;3
167;120;2;6;16;8;1
168;8;116;6;6;8;1
169;42;2;8;13;8;0
170;135;98;6;11;8;1
171;174;20;8;11;8;0
172;143;98;6;11;8;1
173;2;116;4;9;8;2
174;52;2;8;13;8;0
175;62;2;8;13;8;0
176;16;116;4;8;8;1
177;218;38;6;13;8;1
178;114;38;6;13;8;1
179;226;38;6;13;8;1
180;50;116;3;6;8;1
181;104;2;6;16;8;1
182;47;20;7;13;8;1
183;46;116;2;10;8;3
184;199;20;5;16;8;1
185;192;20;5;16;8;1
186;119;98;6;11;8;1
187;144;20;8;11;8;0
188;124;20;8;11;8;0
189;154;20;8;11;8;0
190;134;20;8;11;8;0
191;112;2;6;16;8;1
192;58;68;6;13;8;1
193;210;53;6;13;8;1
194;194;38;6;13;8;1
195;204;2;7;13;8;1
196;130;38;6;13;8;1
197;74;53;6;13;8;1
198;195;2;7;13;8;1
199;136;2;6;16;8;1
200;82;53;6;13;8;1
201;146;53;6;13;8;1
202;210;68;6;13;8;1
203;2;53;6;13;8;1
204;194;53;6;13;8;1
205;10;83;6;13;8;1
206;170;53;6;13;8;1
207;138;53;6;13;8;1
208;231;2;7;13;8;0
209;168;2;7;13;8;1
210;106;53;6;13;8;1
211;74;38;6;13;8;1
212;58;38;6;13;8;1
213;186;2;7;13;8;1
214;146;38;6;13;8;1
215;42;83;6;12;8;1
216;22;2;8;13;8;0
217;2;83;6;13;8;1
218;26;83;6;13;8;1
219;10;68;6;13;8;1
220;42;68;6;13;8;1
221;2;38;6;13;8;1
222;234;68;6;13;8;1
223;10;53;6;13;8;1
224;34;38;6;13;8;1
225;18;83;6;13;8;1
226;242;68;6;13;8;1
227;65;20;7;13;8;1
228;66;68;6;13;8;1
229;18;38;6;13;8;1
230;12;2;8;13;8;0
231;80;2;6;16;8;1
232;218;53;6;13;8;1
233;82;68;6;13;8;1
234;186;38;6;13;8;1
235;34;68;6;13;8;1
236;218;68;6;13;8;1
237;106;38;6;13;8;1
238;178;53;6;13;8;1
239;154;53;6;13;8;1
240;2;20;7;13;8;1
241;240;2;7;13;8;1
242;230;20;6;13;8;1
243;2;68;6;13;8;1
244;122;38;6;13;8;1
245;56;20;7;13;8;1
246;170;38;6;13;8;1
247;50;83;6;12;8;1
248;32;2;8;13;8;0
249;34;53;6;13;8;1
250;186;53;6;13;8;1
251;202;38;6;13;8;1
252;226;68;6;13;8;1
253;96;2;6;16;8;1
254;92;20;6;15;8;1
255;72;2;6;16;8;1
